Node n°,z,Temperature,Rhov,Enthalpy,DepositionRate,Sigma
1,0.0,272.9999999999999,0.004788456255454918,0.0,0.0002369718820827478,58.105426356200965
2,0.0002,272.80511660029055,0.004715423866330148,0.0,0.00025149909763867137,57.5503706474659
3,0.0004,272.61009058386287,0.0046433351886412885,0.0,0.00025258200904016846,56.99481973264454
4,0.0006,272.41492133663394,0.0045721942858441,0.0,0.00024970376590383606,56.43932568676171
5,0.0008,272.2196104907592,0.004501990357777286,0.0,0.00024717576728955934,55.884003051445504
6,0.001,272.024159479782,0.004432713918517884,0.0,0.00024463221504628807,55.328841217840534
7,0.0012,271.82856974606574,0.0043643554237798275,0.0,0.00024210430029810622,54.77384019012474
8,0.0014000000000000002,271.6328427231062,0.004296905387955186,0.0,0.00023958957068214503,54.21899906059742
9,0.0016,271.43697983692215,0.004230354374909347,0.0,0.00023708841321240648,53.66431698674515
10,0.0018,271.24098250583637,0.004164692999437794,0.0,0.0002346009709653689,53.109793108937495
11,0.002,271.044852140394,0.004099911927797877,0.0,0.0002321274012684074,52.555426557735004
12,0.0022,270.8485901432737,0.004036001878301673,0.0,0.00022966785488563984,52.001216453628636
13,0.0024,270.6521979092019,0.003972953621881019,0.0,0.0002272224774875598,51.44716190741471
14,0.0026,270.4556768248702,0.0039107579826367115,0.0,0.00022479141058533947,50.8932620205144
15,0.0028000000000000004,270.2590282688553,0.003849405838366094,0.0,0.00022237479013199017,50.339515885297196
16,0.003,270.0622536115417,0.0037888881210749507,0.0,0.00021997274725536544,49.78592258540312
17,0.0032,269.8653542150476,0.003729195817469187,0.0,0.00021758540834280487,49.232481196058686
18,0.0034000000000000002,269.668331433153,0.003670319969429137,0.0,0.00021521289472455513,48.679190784391906
19,0.0036,269.4711866112309,0.0036122516744653,0.0,0.000212855323285541,48.12605040974784
20,0.0038,269.27392108618113,0.003554982086156593,0.0,0.0002105128063148934,47.57305912400055
21,0.004,269.07653618636664,0.00349850241456891,0.0,0.00020818545023694755,47.02021597186202
22,0.0042,268.879033231553,0.003442803926659248,0.0,0.00020587335783778382,46.46751999118667
23,0.0044,268.68141353285057,0.003387877946659182,0.0,0.00020357662720981202,45.914970213275986
24,0.0046,268.48367839265836,0.0033337158564417635,0.0,0.0002012953511757631,45.36256566317954
25,0.0048,268.2858291046116,0.0032803090958722935,0.0,0.00019902961859041878,44.810305359992725
26,0.005,268.0878669535313,0.0032276491631404868,0.0,0.0001967795137365456,44.258188317150456
27,0.0052,267.8897932153767,0.0031757276150762566,0.0,0.0001945451162097842,43.706213542711694
28,0.0054,267.6916091571997,0.0031245360674487317,0.0,0.00019232650133279048,43.15438003960081
29,0.005600000000000001,267.49331603710255,0.0030740661952486474,0.0,0.00019012373979968594,42.60268680560957
30,0.0058,267.2949151041976,0.003024309732954885,0.0,0.0001879368984836742,42.05113283213641
31,0.006,267.0964075985695,0.0029752584747826383,0.0,0.00018576603919742555,41.49971709678155
32,0.0062,266.89779475123964,0.002926904274919039,0.0,0.00018361122031644475,40.948438528590536
33,0.0064,266.69907778413375,0.0028792390477394747,0.0,0.00018147249562714895,40.39729586229152
34,0.0066,266.50025791005095,0.0028322547680105802,0.0,0.00017934991489875393,39.84628708284575
35,0.0068000000000000005,266.3013363326358,0.002785943471076024,0.0,0.000177243523488099,39.29540749895438
36,0.007000000000000001,266.1023142463524,0.0027402972530292686,0.0,0.00017515336350947753,38.744643671356854
37,0.0072,265.9031928364605,0.0026953082708687215,0.0,0.00017307947270174862,38.193956075310325
38,0.0074,265.7039732789941,0.002650968742639293,0.0,0.00017102188455206374,37.643234433783455
39,0.0076,265.5046567407425,0.0026072709475599733,0.0,0.0001689806290255424,37.09219450007775
40,0.0078000000000000005,265.3052443792335,0.0025642072261359552,0.0,0.00016695573259263273,36.54016596298807
41,0.008,265.10573734271793,0.002521769980256391,0.0,0.00016494721747583663,35.985710182281295
42,0.0082,264.9061367701575,0.002479951673279164,0.0,0.00016295510246423504,35.42603029086748
43,0.0084,264.70644379121404,0.002438744830100993,0.0,0.0001609794026643773,34.85623003300764
44,0.0086,264.50665952624075,0.002398142037214749,0.0,0.00015902013006757187,34.26865766607518
45,0.0088,264.3067850862755,0.002358135942751736,0.0,0.00015707729195122406,33.652788251115574
46,0.009000000000000001,264.10682157303677,0.002318719256514109,0.0,0.00015515089364890916,32.99620734255191
47,0.0092,263.90677007892054,0.0022798847499903587,0.0,0.0001532409362586107,32.287066047474404
48,0.0094,263.7066316869996,0.0022416252563614066,0.0,0.00015134741781736165,31.51778127769589
49,0.0096,263.5064074710248,0.0022039336704926886,0.0,0.00014947033332876193,30.688924559090655
50,0.0098,263.306098495428,0.0021668029489135686,0.0,0.00014760967368533496,29.811646186552696
51,0.01,263.1057058153269,0.0021302261097865664,0.0,0.00014576542732172486,28.907142770999176
52,0.0102,262.90523047653215,0.0020941962328635978,0.0,0.0001439375799359484,28.00275589768176
53,0.0104,262.70467351555465,0.0020587064594297755,0.0,0.00014212611344523187,27.125827148482053
54,0.0106,262.50403595961643,0.0020237499922383636,0.0,0.00014033100747109636,26.297553125548678
55,0.0108,262.30331882666195,0.0019893200954319472,0.0,0.00013855223835200847,25.529084113016953
56,0.011000000000000001,262.10252312537165,0.0019554100944549476,0.0,0.00013678977981084275,24.820991628010685
57,0.011200000000000002,261.9016498551767,0.001922013375953637,0.0,0.00013504360233785898,24.16569257867604
58,0.0114,261.70070000627595,0.0018891233876676071,0.0,0.00013331367424080514,23.551338074847397
59,0.0116,261.4996745596537,0.0018567336383092604,0.0,0.00013159996083013617,22.965513679762505
60,0.0118,261.2985744870995,0.0018248376974349609,0.0,0.0001299024252813448,22.39769446803662
61,0.012,261.09740075122875,0.0017934291953046106,0.0,0.0001282210275864999,21.840228713870857
62,0.012199999999999999,260.8961543055059,0.0017625018227337978,0.0,0.0001265557256928579,21.28822018044609
63,0.0124,260.6948360942679,0.0017320493309347493,0.0,0.00012490647490279007,20.73887202100804
64,0.0126,260.4934470527497,0.001702065531349907,0.0,0.00012327322856038614,20.190745616796416
65,0.0128,260.29198810711057,0.001672544295474943,0.0,0.00012165593734501628,19.64317067915239
66,0.013000000000000001,260.09046017446224,0.0016434795546740662,0.0,0.00012005454940752353,19.09586298500085
67,0.0132,259.8888641628982,0.0016148652999879878,0.0,0.00011846901160721801,18.548712282004328
68,0.0134,259.6872009715238,0.0015866955819306768,0.0,0.00011689926769945668,18.001679071137996
69,0.013600000000000001,259.48547149048835,0.0015589645102816088,0.0,0.00011534526005685126,17.454749939799804
70,0.013800000000000002,259.28367660101753,0.0015316662538678138,0.0,0.00011380692888560288,16.907920224181943
71,0.014000000000000002,259.0818171754475,0.0015047950403388214,0.0,0.00011228421199676668,16.36118793744101
72,0.014199999999999999,258.87989407725996,0.0014783451559356561,0.0,0.00011077704592789457,15.814551843066857
73,0.0144,258.67790816111835,0.0014523109452505476,0.0,0.00010928536498732542,15.26801089928636
74,0.0146,258.47586027290504,0.0014266868109810802,0.0,0.00010780910150012456,14.721564113144897
